[Log] Region,Kön,Ålder,Födelseregion,2022M08
0114 Upplands Väsby,totalt,16-64 år,totalt,1363
0115 Vallentuna,totalt,16-64 år,totalt,475
0117 Österåker,totalt,16-64 år,totalt,698
0120 Värmdö,totalt,16-64 år,totalt,688
0123 Järfälla,totalt,16-64 år,totalt,2655
0125 Ekerö,totalt,16-64 år,totalt,371
0126 Huddinge,totalt,16-64 år,totalt,3178
0127 Botkyrka,totalt,16-64 år,totalt,4140
0128 Salem,totalt,16-64 år,totalt,347
0136 Haninge,totalt,16-64 år,totalt,2639
0138 Tyresö,totalt,16-64 år,totalt,943
0139 Upplands-Bro,totalt,16-64 år,totalt,930
0140 Nykvarn,totalt,16-64 år,totalt,173
0160 Täby,totalt,16-64 år,totalt,1011
0162 Danderyd,totalt,16-64 år,totalt,408
0163 Sollentuna,totalt,16-64 år,totalt,1703
0180 Stockholm,totalt,16-64 år,totalt,25249
0181 Södertälje,totalt,16-64 år,totalt,4564
0182 Nacka,totalt,16-64 år,totalt,1640
0183 Sundbyberg,totalt,16-64 år,totalt,1451
0184 Solna,totalt,16-64 år,totalt,1600
0186 Lidingö,totalt,16-64 år,totalt,647
0187 Vaxholm,totalt,16-64 år,totalt,142
0188 Norrtälje,totalt,16-64 år,totalt,1052
0191 Sigtuna,totalt,16-64 år,totalt,1576
0192 Nynäshamn,totalt,16-64 år,totalt,682
0305 Håbo,totalt,16-64 år,totalt,404
0319 Älvkarleby,totalt,16-64 år,totalt,244
0330 Knivsta,totalt,16-64 år,totalt,302
0331 Heby,totalt,16-64 år,totalt,327
0360 Tierp,totalt,16-64 år,totalt,546
0380 Uppsala,totalt,16-64 år,totalt,5806
0381 Enköping,totalt,16-64 år,totalt,1140
0382 Östhammar,totalt,16-64 år,totalt,311
0428 Vingåker,totalt,16-64 år,totalt,284
0461 Gnesta,totalt,16-64 år,totalt,191
0480 Nyköping,totalt,16-64 år,totalt,1578
0481 Oxelösund,totalt,16-64 år,totalt,331
0482 Flen,totalt,16-64 år,totalt,687
0483 Katrineholm,totalt,16-64 år,totalt,1126
0484 Eskilstuna,totalt,16-64 år,totalt,4945
0486 Strängnäs,totalt,16-64 år,totalt,872
0488 Trosa,totalt,16-64 år,totalt,186
0509 Ödeshög,totalt,16-64 år,totalt,68
0512 Ydre,totalt,16-64 år,totalt,44
0513 Kinda,totalt,16-64 år,totalt,167
0560 Boxholm,totalt,16-64 år,totalt,93
0561 Åtvidaberg,totalt,16-64 år,totalt,168
0562 Finspång,totalt,16-64 år,totalt,648
0563 Valdemarsvik,totalt,16-64 år,totalt,137
0580 Linköping,totalt,16-64 år,totalt,3665
0581 Norrköping,totalt,16-64 år,totalt,5097
0582 Söderköping,totalt,16-64 år,totalt,254
0583 Motala,totalt,16-64 år,totalt,1018
0584 Vadstena,totalt,16-64 år,totalt,109
0586 Mjölby,totalt,16-64 år,totalt,506
0604 Aneby,totalt,16-64 år,totalt,135
0617 Gnosjö,totalt,16-64 år,totalt,164
0642 Mullsjö,totalt,16-64 år,totalt,103
0643 Habo,totalt,16-64 år,totalt,145
0662 Gislaved,totalt,16-64 år,totalt,612
0665 Vaggeryd,totalt,16-64 år,totalt,226
0680 Jönköping,totalt,16-64 år,totalt,2705
0682 Nässjö,totalt,16-64 år,totalt,939
0683 Värnamo,totalt,16-64 år,totalt,580
0684 Sävsjö,totalt,16-64 år,totalt,281
0685 Vetlanda,totalt,16-64 år,totalt,541
0686 Eksjö,totalt,16-64 år,totalt,397
0687 Tranås,totalt,16-64 år,totalt,428
0760 Uppvidinge,totalt,16-64 år,totalt,267
0761 Lessebo,totalt,16-64 år,totalt,316
0763 Tingsryd,totalt,16-64 år,totalt,288
0764 Alvesta,totalt,16-64 år,totalt,632
0765 Älmhult,totalt,16-64 år,totalt,491
0767 Markaryd,totalt,16-64 år,totalt,264
0780 Växjö,totalt,16-64 år,totalt,2649
0781 Ljungby,totalt,16-64 år,totalt,537
0821 Högsby,totalt,16-64 år,totalt,149
0834 Torsås,totalt,16-64 år,totalt,127
0840 Mörbylånga,totalt,16-64 år,totalt,155
0860 Hultsfred,totalt,16-64 år,totalt,377
0861 Mönsterås,totalt,16-64 år,totalt,252
0862 Emmaboda,totalt,16-64 år,totalt,255
0880 Kalmar,totalt,16-64 år,totalt,1453
0881 Nybro,totalt,16-64 år,totalt,484
0882 Oskarshamn,totalt,16-64 år,totalt,539
0883 Västervik,totalt,16-64 år,totalt,682
0884 Vimmerby,totalt,16-64 år,totalt,251
0885 Borgholm,totalt,16-64 år,totalt,104
0980 Gotland,totalt,16-64 år,totalt,754
1060 Olofström,totalt,16-64 år,totalt,392
1080 Karlskrona,totalt,16-64 år,totalt,1555
1081 Ronneby,totalt,16-64 år,totalt,1151
1082 Karlshamn,totalt,16-64 år,totalt,887
1083 Sölvesborg,totalt,16-64 år,totalt,351
1214 Svalöv,totalt,16-64 år,totalt,312
1230 Staffanstorp,totalt,16-64 år,totalt,489
1231 Burlöv,totalt,16-64 år,totalt,771
1233 Vellinge,totalt,16-64 år,totalt,427
1256 Östra Göinge,totalt,16-64 år,totalt,576
1257 Örkelljunga,totalt,16-64 år,totalt,209
1260 Bjuv,totalt,16-64 år,totalt,511
1261 Kävlinge,totalt,16-64 år,totalt,526
1262 Lomma,totalt,16-64 år,totalt,295
1263 Svedala,totalt,16-64 år,totalt,416
1264 Skurup,totalt,16-64 år,totalt,358
1265 Sjöbo,totalt,16-64 år,totalt,336
1266 Hörby,totalt,16-64 år,totalt,295
1267 Höör,totalt,16-64 år,totalt,305
1270 Tomelilla,totalt,16-64 år,totalt,264
1272 Bromölla,totalt,16-64 år,totalt,378
